X (cm),Y (cm)
-7.6588182,0.99318165
-7.658389,0.9632185
-7.687973,0.93187594
-7.687547,0.90190035
-7.7171397,0.8705455
-7.7467384,0.8391847
-7.7463183,0.80919045
-7.7759256,0.77781737
-7.805538,0.74643826
-7.805538,0.74643826
-7.835157,0.7150531
-7.8647814,0.6836618
-7.8944116,0.65226454
-7.8940067,0.62223315
-7.9240475,0.6208612
-7.9536886,0.5894518
-7.983336,0.5580363
-8.013382,0.55666465
-8.043037,0.5252432
-8.072699,0.49381572
-8.102749,0.4924443
-8.132419,0.46101087
-8.162471,0.4596396
-8.192149,0.42820024
-8.222204,0.42682913
-8.252258,0.425458
-8.281947,0.39401284
-8.312003,0.3926419
-8.372115,0.38990006
-8.402169,0.38852918
-8.431875,0.35707843
-8.461932,0.3557077
-8.491988,0.35433698
-8.5521,0.35159564
-8.582155,0.350225
-8.61221,0.3488544
-8.642263,0.34748378
-8.70205,0.3146574
-8.732106,0.31328696
-8.762161,0.31191656
-8.792215,0.3105462
-8.852324,0.30780548
-8.882377,0.30643517
-8.91243,0.3050649
-8.942482,0.30369464
-9.002585,0.30095416
-9.032636,0.29958397
-9.062686,0.29821378
-9.092736,0.29684365
-9.152834,0.29410338
-9.182882,0.2927333
-9.212931,0.29136324
-9.242978,0.2899932
-9.272764,0.25853357
-9.332863,0.25579378
-9.362911,0.25442395
-9.392959,0.2530541
-9.423007,0.2516843
-9.452812,0.22021922
-9.4828615,0.21884957
-9.512911,0.21747993
-9.5427265,0.186009
-9.572779,0.18463953
-9.602829,0.18327007
-9.632656,0.15179332
-9.662709,0.150424
-9.692545,0.11894129
-9.722386,0.08745251
-9.722386,0.08745251
-9.752234,0.055957634
-9.782087,0.024456672
-9.811946,-0.007050376
-9.811742,-0.03719496
-9.841609,-0.06871431
-9.841609,-0.06871431
-9.871483,-0.10023977
-9.901362,-0.13177131
-9.901167,-0.16194089
-9.900777,-0.22229902
-9.930671,-0.25385535
-9.930479,-0.28405014
-9.960382,-0.3156188
-9.960193,-0.34582618
-9.960004,-0.3760399
-9.959625,-0.43648636
-9.989548,-0.4680861
-9.989361,-0.49832508
-9.989175,-0.5285704
-9.988989,-0.55882215
-9.988617,-0.6193446
-9.98843,-0.6496154
-9.988244,-0.67989254
-9.988057,-0.71017605
-9.987685,-0.77076215
-9.987498,-0.8010647
-9.987311,-0.8313737
-9.956973,-0.8603234
-9.9565935,-0.9209735
-9.956404,-0.9513081
-9.956214,-0.98164904
-9.925856,-1.0106313
-9.925663,-1.0409851
-9.925469,-1.0713454
-9.895098,-1.1003472
-9.894901,-1.1307204
-9.86452,-1.1597352
-9.86432,-1.1901213
-9.833928,-1.2191492
-9.80353,-1.2481838
-9.803324,-1.2785892
-9.772915,-1.307637
-9.742499,-1.3366913
-9.712293,-1.3353273
-9.712076,-1.3657522
-9.681647,-1.3948197
-9.651433,-1.3934557
-9.620993,-1.4225299
-9.590775,-1.4211661
-9.560324,-1.450247
-9.530101,-1.4488832
-9.4996395,-1.4779708
-9.469413,-1.4766071
-9.439186,-1.4752433
-9.4087105,-1.5043377
-9.378479,-1.502974
-9.348247,-1.5016103
-9.287782,-1.4988828
-9.257548,-1.497519
-9.227315,-1.4961553
-9.19681,-1.5252568
-9.166572,-1.523893
-9.106094,-1.5211655
-9.075854,-1.5198016
-9.045614,-1.5184379
-9.015374,-1.517074
-8.954891,-1.5143462
-8.924649,-1.5129822
-8.894407,-1.5116184
-8.864163,-1.5102544
-8.803677,-1.5075264
-8.773117,-1.5366356
-8.742868,-1.5352716
-8.71262,-1.5339077
-8.652121,-1.5311797
-8.62187,-1.5298157
-8.5916195,-1.5284516
-8.561369,-1.5270876
-8.500521,-1.55484
-8.470264,-1.5534759
-8.440008,-1.5521119
-8.409752,-1.5507478
-8.379137,-1.5798712
-8.348876,-1.5785072
-8.287986,-1.6062733
-8.25772,-1.6049093
-8.227454,-1.6035453
-8.196811,-1.6326823
-8.166162,-1.6618259
-8.135887,-1.660462
-8.1052265,-1.6896124
-8.074948,-1.6882486
-8.044277,-1.7174057
-8.043884,-1.7479329
-8.013598,-1.7465694
-7.9829135,-1.7757397
-7.9522214,-1.8049166
-7.921522,-1.8341002
-7.890816,-1.8632905
-7.890816,-1.8632905
-7.860103,-1.8924874
-7.829383,-1.9216911
-7.8289676,-1.9522643
-7.7982373,-1.9814811
-7.7675,-2.0107045
-7.7670774,-2.0412974
-7.73633,-2.070534
-7.7359047,-2.10114
-7.7051463,-2.13039
-7.7047176,-2.1610088
-7.7042885,-2.1916342
-7.673517,-2.220904
-7.6730847,-2.2515426
-7.6726522,-2.2821875
-7.641867,-2.3114772
-7.6414313,-2.3421352
-7.640995,-2.3727996
-7.640559,-2.4034708
-7.6401234,-2.434148
-7.639687,-2.464832
-7.6392508,-2.4955227
-7.6084385,-2.5248587
-7.607559,-2.5862722
-7.607119,-2.616989
-7.606679,-2.647712
-7.6062393,-2.6784418
-7.605799,-2.7091777
-7.6053586,-2.7399206
-7.6049185,-2.7706697
-7.6040373,-2.8321877
-7.634008,-2.8643162
-7.6335707,-2.8950913
-7.633133,-2.9258728
-7.632695,-2.956661
-7.6318197,-3.0182571
-7.6313815,-3.0490649
-7.630944,-3.079879
-7.6300673,-3.1415274
-7.629629,-3.1723614
-7.6291904,-3.2032018
-7.628752,-3.2340488
-7.627875,-3.2957625
-7.627436,-3.3266292
-7.626997,-3.3575025
-7.6265583,-3.3883822
-7.62568,-3.4501615
-7.625241,-3.481061
-7.624801,-3.511967
-7.6239223,-3.5737987
-7.6234827,-3.6047244
-7.623043,-3.6356566
-7.622603,-3.6665955
-7.621723,-3.728493
-7.6517878,-3.7608082
-7.651351,-3.7917733
-7.6509137,-3.822745
-7.6504765,-3.8537233
-7.650039,-3.8847082
-7.6796885,-3.9480534
-7.679254,-3.979058
-7.6788197,-4.010069
-7.6783853,-4.0410867
-7.7084866,-4.0734663
-7.7080555,-4.1044974
-7.738166,-4.13689
-7.7377377,-4.167934
-7.7678576,-4.2003393
-7.767432,-4.231396
-7.797983,-4.232751
-7.797561,-4.2638144
-7.827696,-4.296239
-7.8272767,-4.327316
-7.8574204,-4.359753
-7.887983,-4.3611073
-7.88757,-4.392197
-7.9177256,-4.4246473
-7.9482937,-4.426001
-7.978458,-4.4584575
-8.0090275,-4.459811
-8.039201,-4.4922743
-8.069773,-4.4936275
-8.099955,-4.526097
-8.130529,-4.52745
-8.161103,-4.528804
-8.191297,-4.561279
-8.221872,-4.562632
-8.252448,-4.5639853
-8.282653,-4.5964665
-8.3132305,-4.5978193
-8.343808,-4.5991726
-8.374024,-4.63166
-8.435184,-4.6343656
-8.465762,-4.6357183
-8.496341,-4.637071
-8.526573,-4.6695642
-8.557154,-4.670917
-8.618313,-4.673622
-8.648891,-4.674975
-8.67947,-4.6763277
-8.7097225,-4.7088265
-8.770884,-4.711531
-8.801463,-4.7128835
-8.832043,-4.714236
-8.862621,-4.715588
-8.923474,-4.749445
-8.954055,-4.7507973
-8.984634,-4.752149
-9.015214,-4.7535014
-9.045503,-4.7860117
-9.106666,-4.7887154
-9.137246,-4.7900677
-9.167826,-4.7914195
-9.1981325,-4.8239355
-9.228715,-4.8252873
-9.289878,-4.8279905
-9.320198,-4.8605127
-9.350781,-4.861864
-9.38111,-4.8943925
-9.411696,-4.895744
-9.442035,-4.9282784
-9.472622,-4.92963
-9.502969,-4.9621706
-9.533559,-4.963522
-9.563914,-4.996069
-9.594507,-4.99742
-9.624871,-5.029973
-9.655241,-5.062533
-9.685839,-5.063884
-9.6856165,-5.0950994
-9.715999,-5.1276717
-9.746387,-5.160251
-9.776781,-5.1928363
-9.776568,-5.224078
-9.806972,-5.2566767
-9.806764,-5.287932
-9.837175,-5.3205433
-9.83697,-5.351812
-9.867392,-5.384436
-9.867189,-5.4157176
-9.89762,-5.448355
-9.897421,-5.47965
-9.897222,-5.5109515
-9.897022,-5.54226
-9.927469,-5.5749235
-9.927273,-5.606245
-9.926881,-5.668908
-9.926684,-5.70025
-9.926489,-5.7315984
-9.926292,-5.7629533
-9.926096,-5.7943153
-9.9258995,-5.8256836
-9.895028,-5.8557115
-9.894829,-5.8870935
-9.894629,-5.9184823
-9.863744,-5.9485307
-9.863541,-5.979933
-9.832644,-6.009995
-9.832438,-6.041411
-9.801532,-6.071487
-9.801322,-6.1029162
-9.770405,-6.133006
-9.739481,-6.1631026
-9.70877,-6.161756
-9.70855,-6.1932063
-9.677612,-6.2233167
-9.646667,-6.253434
-9.615944,-6.252088
-9.584988,-6.2822127
-9.554025,-6.312344
-9.5232935,-6.3109984
-9.492319,-6.341137
-9.461338,-6.3712826
-9.430599,-6.3699365
-9.399607,-6.4000893
-9.368863,-6.3987436
-9.33786,-6.428903
-9.276364,-6.426212
-9.245616,-6.424866
-9.214594,-6.4550333
-9.183841,-6.4536877
-9.152807,-6.483862
-9.12205,-6.4825163
-9.091292,-6.4811707
-9.060245,-6.511352
-8.99872,-6.5086613
-8.967957,-6.5073156
-8.936891,-6.537504
-8.906123,-6.5361586
-8.875355,-6.5348134
-8.844586,-6.533468
-8.813501,-6.5636635
-8.751955,-6.5609727
-8.721181,-6.559627
-8.690407,-6.558282
-8.659632,-6.5569363
-8.628857,-6.5555906
-8.597741,-6.585794
-8.536181,-6.583103
-8.505401,-6.5817575
-8.474619,-6.5804124
-8.443837,-6.5790668
-8.413054,-6.577721
-8.382272,-6.5763755
-8.320704,-6.573684
-8.28992,-6.5723386
-8.259135,-6.570993
-8.22835,-6.5696473
-8.197182,-6.5998588
-8.166391,-6.5985136
-8.104811,-6.5958223
-8.074019,-6.594476
-8.043227,-6.5931306
-8.012435,-6.591785
-7.9816422,-6.5904393
-7.950849,-6.5890937
-7.8892603,-6.586402
-7.8584657,-6.5850563
-7.82767,-6.58371
-7.796874,-6.5823646
-7.7660775,-6.5810184
-7.704483,-6.5783267
-7.673685,-6.5769806
-7.642886,-6.5756345
-7.6120872,-6.574289
-7.581288,-6.5729427
-7.5504875,-6.5715966
-7.488886,-6.5689044
-7.458084,-6.5675583
-7.4268165,-6.5977793
-7.3960104,-6.596433
-7.365204,-6.595087
-7.3035893,-6.592395
-7.2727814,-6.5910487
-7.2419724,-6.5897026
-7.2111635,-6.5883565
-7.1803536,-6.5870104
-7.149544,-6.585664
-7.0879216,-6.5829716
-7.0571103,-6.581625
-7.026298,-6.580279
-6.994973,-6.610508
-6.9641566,-6.609162
-6.9333396,-6.6078153
-6.8717036,-6.605123
-6.840885,-6.6037765
-6.810066,-6.6024303
-6.7792463,-6.6010838
-6.748426,-6.599737
-6.7176056,-6.598391
-6.6559625,-6.595698
-6.62514,-6.5943513
-6.5943174,-6.593005
-6.5634937,-6.5916586
-6.53267,-6.590312
-6.501846,-6.5889654
-6.4401956,-6.5862722
-6.4093695,-6.5849257
-6.378543,-6.5835786
-6.3477163,-6.582232
-6.316889,-6.5808854
-6.286061,-6.579539
-6.224403,-6.576845
-6.1935735,-6.575498
-6.1627436,-6.5741515
-6.1319127,-6.5728045
-6.101082,-6.571458
-6.07025,-6.570111
-6.0085855,-6.567417
-5.977752,-6.56607
-5.9469185,-6.564723
-5.9167123,-6.5317965
-5.8858805,-6.530449
-5.8550487,-6.529102
-5.793383,-6.5264077
